BenchmarkInit,       1,5280323740 ns/op,737450120 B/op, 9000844 allocs/op
BenchmarkGeneExpression,     500,   4889613 ns/op,  317897 B/op,    1685 allocs/op
BenchmarkAverageDiff,       1,1003743501 ns/op,  310248 B/op,    1738 allocs/op
BenchmarkStd,    1000,   1674134 ns/op,  301440 B/op,    1711 allocs/op
BenchmarkVariance,    1000,   2281950 ns/op,  314192 B/op,    1721 allocs/op
BenchmarkSetScale,   20000,     89125 ns/op,    7928 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1106639 ns/op,  284968 B/op,    1562 allocs/op
BenchmarkInit,       1,5628793780 ns/op,737762136 B/op, 9002517 allocs/op
BenchmarkGeneExpression,     500,   4956401 ns/op,  318073 B/op,    1686 allocs/op
BenchmarkAverageDiff,       1,1003618311 ns/op,  312408 B/op,    1737 allocs/op
BenchmarkStd,    1000,   2381747 ns/op,  314007 B/op,    1718 allocs/op
BenchmarkVariance,    1000,   2303062 ns/op,  313951 B/op,    1721 allocs/op
BenchmarkSetScale,   20000,     80475 ns/op,    7928 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1155045 ns/op,  285113 B/op,    1562 allocs/op
BenchmarkInit,       1,5334891184 ns/op,737811848 B/op, 9002510 allocs/op
BenchmarkGeneExpression,     500,   4905004 ns/op,  317815 B/op,    1686 allocs/op
BenchmarkAverageDiff,       1,1004117945 ns/op,  308792 B/op,    1733 allocs/op
BenchmarkStd,    1000,   2402634 ns/op,  313937 B/op,    1718 allocs/op
BenchmarkVariance,    1000,   2316963 ns/op,  313026 B/op,    1720 allocs/op
BenchmarkSetScale,   20000,     81552 ns/op,    7927 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1154087 ns/op,  285055 B/op,    1562 allocs/op
BenchmarkInit,       1,5422936183 ns/op,737630152 B/op, 9001739 allocs/op
BenchmarkGeneExpression,     500,   4885404 ns/op,  317851 B/op,    1685 allocs/op
BenchmarkAverageDiff,       1,1004341737 ns/op,  310680 B/op,    1734 allocs/op
BenchmarkStd,    1000,   2357662 ns/op,  314085 B/op,    1718 allocs/op
