BenchmarkInit,       1,2798686052 ns/op,370713056 B/op, 4686812 allocs/op
BenchmarkGeneExpression,     500,   5057251 ns/op,  309231 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1004578928 ns/op,  303576 B/op,    1734 allocs/op
BenchmarkStd,    1000,   1879738 ns/op,  299010 B/op,    1707 allocs/op
BenchmarkVariance,    1000,   2210849 ns/op,  305593 B/op,    1716 allocs/op
BenchmarkSetScale,   20000,     93276 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1116945 ns/op,  284808 B/op,    1560 allocs/op
BenchmarkInit,       1,2827422318 ns/op,370707456 B/op, 4686864 allocs/op
BenchmarkGeneExpression,     500,   4923202 ns/op,  309272 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1004436235 ns/op,  347096 B/op,    1738 allocs/op
BenchmarkStd,    1000,   2267980 ns/op,  305269 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2245584 ns/op,  305152 B/op,    1715 allocs/op
BenchmarkSetScale,   20000,     80763 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1132124 ns/op,  285053 B/op,    1561 allocs/op
BenchmarkInit,       1,2705632327 ns/op,370769024 B/op, 4687255 allocs/op
BenchmarkGeneExpression,     500,   4853141 ns/op,  309254 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1003293740 ns/op,  303992 B/op,    1733 allocs/op
BenchmarkStd,    1000,   2297788 ns/op,  305154 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2273369 ns/op,  305430 B/op,    1716 allocs/op
BenchmarkSetScale,   20000,     81115 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1127722 ns/op,  284838 B/op,    1560 allocs/op
BenchmarkInit,       1,2766082096 ns/op,370720368 B/op, 4686872 allocs/op
BenchmarkGeneExpression,     500,   4805969 ns/op,  309357 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1003697189 ns/op,  304248 B/op,    1734 allocs/op
BenchmarkStd,    1000,   2293352 ns/op,  305262 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2285420 ns/op,  304835 B/op,    1715 allocs/op
BenchmarkSetScale,   20000,     84537 ns/op,    7945 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1152369 ns/op,  284904 B/op,    1560 allocs/op
BenchmarkInit,       1,2592762557 ns/op,370740384 B/op, 4687105 allocs/op
BenchmarkGeneExpression,     500,   4956564 ns/op,  309293 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1003268941 ns/op,  304088 B/op,    1732 allocs/op
BenchmarkStd,    1000,   2258641 ns/op,  305317 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2224554 ns/op,  305359 B/op,    1716 allocs/op
BenchmarkSetScale,   20000,     84864 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1109142 ns/op,  284929 B/op,    1560 allocs/op
BenchmarkInit,       1,2592772092 ns/op,370660448 B/op, 4686591 allocs/op
BenchmarkGeneExpression,     500,   4990822 ns/op,  309333 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1003963889 ns/op,  303512 B/op,    1734 allocs/op
BenchmarkStd,    1000,   2268194 ns/op,  305395 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2239333 ns/op,  305185 B/op,    1715 allocs/op
BenchmarkSetScale,   20000,     84030 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1110162 ns/op,  284937 B/op,    1560 allocs/op
BenchmarkInit,       1,2629175918 ns/op,370696912 B/op, 4686771 allocs/op
BenchmarkGeneExpression,     500,   4933899 ns/op,  309314 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1004009007 ns/op,  304104 B/op,    1732 allocs/op
BenchmarkStd,    1000,   2265067 ns/op,  305470 B/op,    1712 allocs/op
BenchmarkVariance,    1000,   2231832 ns/op,  304888 B/op,    1715 allocs/op
BenchmarkSetScale,   20000,     85288 ns/op,    7946 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1112323 ns/op,  284947 B/op,    1560 allocs/op
BenchmarkInit,       1,2639252428 ns/op,370706640 B/op, 4686948 allocs/op
BenchmarkGeneExpression,     500,   5007246 ns/op,  309361 B/op,    1681 allocs/op
BenchmarkAverageDiff,       1,1005955074 ns/op,  304168 B/op,    1733 allocs/op
BenchmarkStd,    1000,   2257590 ns/op,  305096 B/op,    1713 allocs/op
BenchmarkVariance,    1000,   2231825 ns/op,  305447 B/op,    1716 allocs/op
BenchmarkSetScale,   20000,     83548 ns/op,    7947 B/op,      87 allocs/op
BenchmarkBackground,    2000,   1103497 ns/op,  284924 B/op,    1561 allocs/op
BenchmarkInit,       1,2627678500 ns/op,370655824 B/op, 4686594 allocs/op
BenchmarkGeneExpression,     500,   4955715 ns/op,  309225 B/op,    1681 allocs/op
