Index, Probe_Id, Symbol
0, 156427, ''
1, 139282, 'GAP43'
2, 131316, 'GPHN'
3, 235751, ''
4, 696770, ''
5, 212224, ''
6, 108888, 'KIF21A'
7, 708044, ''
8, 178946, 'CD1A'
9, 233299, ''
10, 179411, ''
11, 220912, ''
12, 115338, 'CTNNA1'
13, 698913, ''
14, 206927, 'SLA'
15, 139705, 'CASP14'
16, 110723, ''
17, 223159, 'TSGA10IP'
18, 705915, 'MGC52000'
19, 135547, 'SLMAP'
20, 230819, ''
21, 185825, 'HN1'
22, 202838, 'ZNF32'
23, 151544, ''
24, 161158, 'FLJ23554'
25, 157905, 'RNF40'
26, 106681, ''
27, 222530, ''
28, 195365, ''
29, 231949, ''
30, 161075, 'F9'
31, 158415, ''
32, 699339, ''
33, 150281, ''
34, 167465, 'POLR3A'
35, 105421, 'PIP3-E'
36, 228132, ''
37, 168099, 'GALNT6'
38, 144248, 'CRTAC1'
39, 173658, ''
40, 207283, 'HFE'
41, 232106, ''
42, 111349, ''
43, 189331, ''
44, 235132, 'ZNF319'
45, 165770, ''
46, 160223, 'MGC20460'
47, 188632, 'TIMELESS'
48, 232497, 'NOS3AS'
49, 208657, 'HTRA3'
50, 133973, 'SULT1C1'
51, 174485, 'LOC339745'
52, 148963, 'NR0B1'
53, 231881, ''
54, 640362, ''
55, 190555, 'CTSO'
56, 109254, ''
57, 199568, ''
58, 699594, ''
59, 216971, 'FLJ90709'
60, 236166, ''
61, 114607, 'LOC129285'
62, 103475, 'FLJ10979'
63, 515240, ''
64, 198499, 'PTK2B'
65, 234034, ''
66, 201953, 'GSN'
67, 143308, ''
68, 152737, ''
69, 139135, 'CSPG3'
70, 224053, 'TCEAL8'
71, 153552, 'RTTN'
72, 236934, ''
73, 228502, ''
74, 118556, 'SORCS2'
75, 144980, 'CLK4'
76, 195916, 'LILRA2'
77, 106765, 'OR52J3'
78, 200749, ''
79, 178041, 'TMIE'
80, 112612, 'RBP2'
81, 102836, 'GPR133'
82, 236389, ''
83, 128500, 'SERF1A,SERF1B'
84, 160378, 'ADPRH'
85, 715844, ''
