id, entries
hsa01210, 231
hsa02010, 542
hsa04152, 106
hsa05221, 44
hsa04520, 83
hsa04920, 47
hsa04261, 76
hsa05143, 52
hsa00250, 102
hsa05034, 104
hsa04960, 33
hsa05330, 43
hsa05010, 71
hsa00520, 258
hsa00970, 118
hsa05146, 85
hsa05031, 107
hsa05014, 62
hsa04612, 46
hsa04210, 70
hsa00590, 124
hsa00330, 226
hsa05412, 69
hsa00053, 96
hsa05310, 46
hsa05320, 55
hsa04360, 90
hsa04662, 59
hsa05100, 73
hsa05217, 27
hsa03022, 38
hsa03410, 61
hsa04976, 151
hsa01230, 265
hsa01040, 183
hsa00780, 64
hsa05219, 36
hsa00650, 105
hsa00524, 63
hsa00232, 38
hsa04020, 63
hsa04973, 70
hsa01200, 238
hsa04260, 40
hsa04514, 277
hsa04110, 115
hsa05142, 87
hsa05204, 176
hsa04062, 64
hsa04725, 67
hsa05220, 58
hsa04713, 63
hsa04710, 25
hsa00020, 65
hsa05030, 84
hsa04966, 24
hsa05210, 57
hsa04610, 69
hsa00460, 110
hsa00270, 144
hsa04060, 340
hsa04623, 39
hsa00472, 17
hsa00471, 26
hsa03030, 47
hsa01220, 503
hsa05414, 55
hsa04728, 79
hsa04320, 27
hsa00982, 151
hsa00983, 69
hsa04512, 140
hsa04961, 60
hsa04144, 122
hsa05213, 44
hsa05120, 63
hsa05169, 120
hsa04012, 80
hsa04915, 73
hsa00565, 42
hsa03460, 58
hsa04975, 72
hsa00061, 224
hsa00071, 138
hsa00062, 84
hsa01212, 237
hsa04664, 55
hsa04666, 63
hsa04510, 72
hsa00790, 72
hsa04068, 98
hsa00051, 126
hsa04727, 62
hsa00052, 107
hsa04540, 59
hsa04971, 57
hsa05214, 80
hsa04724, 77
hsa00480, 102
hsa00561, 63
hsa00564, 146
hsa00260, 136
hsa00010, 96
hsa00532, 45
hsa00534, 44
hsa00533, 27
hsa00531, 68
hsa00604, 69
hsa00603, 38
hsa00601, 162
hsa00563, 52
hsa00630, 134
hsa04912, 52
hsa05332, 34
hsa04066, 91
hsa05166, 156
hsa04340, 24
hsa04640, 141
hsa05161, 129
hsa05160, 94
hsa05168, 113
hsa04390, 110
hsa00340, 83
hsa03440, 56
hsa05016, 78
hsa05410, 54
hsa05321, 73
hsa04750, 94
hsa05164, 121
hsa00562, 101
hsa04911, 61
hsa04910, 74
hsa04672, 62
hsa04630, 34
hsa05134, 77
hsa05140, 68
hsa04670, 95
hsa00591, 53
hsa00785, 15
hsa04730, 50
hsa04720, 36
hsa00300, 83
hsa00310, 97
hsa04142, 82
hsa04010, 136
hsa05144, 65
hsa04950, 37
hsa05162, 104
hsa04916, 50
hsa05218, 35
hsa01100, 3830
hsa00980, 208
hsa05206, 451
hsa04978, 91
hsa03430, 32
hsa05032, 106
hsa00512, 46
hsa00510, 120
hsa04064, 161
hsa04621, 69
hsa04650, 105
hsa04080, 174
hsa04722, 89
hsa00760, 98
hsa05033, 71
hsa00910, 103
hsa04932, 82
hsa03450, 21
hsa05223, 57
hsa04330, 30
hsa03420, 55
hsa04740, 21
hsa00670, 35
hsa04114, 91
hsa04380, 83
hsa00511, 27
hsa00514, 48
hsa04913, 77
hsa00190, 219
hsa04921, 82
hsa04151, 119
hsa03320, 70
hsa05212, 60
hsa04972, 99
hsa00770, 60
hsa05012, 75
hsa05130, 58
hsa05200, 266
hsa00040, 128
hsa00030, 100
hsa04146, 74
hsa05133, 103
hsa04145, 86
hsa00360, 147
hsa00400, 111
hsa04070, 66
hsa04744, 50
hsa04611, 95
hsa00860, 235
hsa00120, 105
hsa05340, 52
hsa05020, 73
hsa04914, 38
hsa04917, 75
hsa00640, 113
hsa05215, 60
hsa03050, 55
hsa04974, 81
hsa03060, 39
hsa04141, 122
hsa05205, 220
hsa04964, 52
hsa00230, 267
hsa00240, 184
hsa00620, 99
hsa04622, 64
hsa03018, 79
hsa03020, 49
hsa03013, 120
hsa04015, 105
hsa04014, 106
hsa04810, 86
hsa04140, 34
hsa05211, 64
hsa04614, 30
hsa00830, 62
hsa04723, 73
hsa05323, 59
hsa00740, 50
hsa03010, 143
hsa03008, 67
hsa04130, 42
hsa04970, 75
hsa05132, 88
hsa00450, 49
hsa04726, 84
hsa05131, 74
hsa04550, 108
hsa05222, 52
hsa00600, 70
hsa03040, 83
hsa05150, 74
hsa00500, 148
hsa00100, 102
hsa00140, 221
hsa00920, 115
hsa04122, 52
hsa04721, 40
hsa00072, 17
hsa05322, 64
hsa04660, 83
hsa04350, 69
hsa04668, 103
hsa04742, 49
hsa00430, 47
hsa00900, 101
hsa00730, 62
hsa05216, 26
hsa04919, 121
hsa04918, 91
hsa04530, 60
hsa04620, 96
hsa05145, 82
hsa05202, 209
hsa00380, 152
hsa05152, 145
hsa04940, 27
hsa04930, 38
hsa00350, 166
hsa00130, 122
hsa04120, 111
hsa04370, 40
hsa00290, 51
hsa00280, 108
hsa04270, 75
hsa04962, 31
hsa05110, 54
hsa05203, 178
hsa05416, 44
hsa00750, 58
hsa04977, 124
hsa04310, 82
hsa00592, 64
hsa00410, 72
hsa04024, 135
hsa04022, 90
hsa03015, 66
hsa04150, 52
hsa04115, 66
