"Index","Probe_Id","Symbol"
"1","ILMN_1725881","LOC23117"
"2","ILMN_1910180",""
"3","ILMN_1804174","FCGR2B"
"4","ILMN_1796063","TRIM44"
"5","ILMN_1811966","LOC653895"
"6","ILMN_1668162","DGAT2L3"
"7","ILMN_1715600","LOC387701"
"8","ILMN_1912287",""
"9","ILMN_1793729","C15orf39"
"10","ILMN_1889125",""
"11","ILMN_2296644","PCDHGA9"
"12","ILMN_1711283","PCDHGA9"
"13","ILMN_1682799","STAMBPL1"
"14","ILMN_1909767",""
"15","ILMN_1840770",""
"16","ILMN_1906209",""
"17","ILMN_1665311","STH"
"18","ILMN_1657235","LOC342979"
"19","ILMN_1655444","LOC728492"
"20","ILMN_1679194","UGT2B7"
"21","ILMN_1755897","UGT2B7"
"22","ILMN_1711453","CLEC12A"
"23","ILMN_1816369",""
"24","ILMN_1656744","LOC648054"
"25","ILMN_2121316","SCYL1BP1"
"26","ILMN_1761911","SCYL1BP1"
"27","ILMN_1807467","RGNEF"
"28","ILMN_1652609","RGNEF"
"29","ILMN_1720944","LOC643426"
"30","ILMN_1818577",""
"31","ILMN_2385662","C1orf103"
"32","ILMN_2313434","TCP1"
"33","ILMN_1867080",""
"34","ILMN_1704173","AIFM3"
"35","ILMN_1817791",""
"36","ILMN_1769158","ISOC2"
"37","ILMN_1660232","PEX5"
"38","ILMN_1849912",""
"39","ILMN_1763663","FLJ20718"
"40","ILMN_1727459","ORC1L"
"41","ILMN_1814429","LOC389405"
"42","ILMN_1881453",""
"43","ILMN_1868399",""
"44","ILMN_1849784",""
"45","ILMN_1797082","SNX13"
"46","ILMN_1846574",""
"47","ILMN_1913309",""
"48","ILMN_1693210","NSMCE2"
"49","ILMN_1897334",""
"50","ILMN_1894042",""
"51","ILMN_1775074","TUBGCP2"
"52","ILMN_1779257","CD40"
"53","ILMN_1684523","LOC648628"
"54","ILMN_1901057",""
"55","ILMN_2309245","BIN1"
"56","ILMN_1821479",""
"57","ILMN_1809344","BTBD10"
"58","ILMN_1762281","DCTN3"
"59","ILMN_1734742","ARHGDIA"
"60","ILMN_1903204",""
"61","ILMN_2162234","NEK1"
"62","ILMN_1655684","SARS2"
"63","ILMN_1735832","LOC650339"
"64","ILMN_1754567","LRRC48"
"65","ILMN_1686807","LOC648993"
"66","ILMN_1671123","LOC647543"
"67","ILMN_1766125","LONP1"
"68","ILMN_1654249","LOC647083"
"69","ILMN_1685369","SLU7"
"70","ILMN_1653709","TIMM9"
"71","ILMN_2126957","NOMO1"
"72","ILMN_1678730","NOMO1"
"73","ILMN_1702114","NOMO1"
"74","ILMN_1842887",""
"75","ILMN_1801608","KCNN3"
"76","ILMN_1744897","KCNN3"
"77","ILMN_1864136",""
"78","ILMN_1828584",""
"79","ILMN_1688702","PJA2"
"80","ILMN_1807393","PLGLA1"
"81","ILMN_1670130","ARID3A"
"82","ILMN_1765971","MOGAT1"
"83","ILMN_1842785",""
"84","ILMN_1913478",""
"85","ILMN_1659166","SLC6A15"
"86","ILMN_1810533","SLC6A15"
"87","ILMN_1713086","RPL27A"
"88","ILMN_1888978",""
"89","ILMN_2205695","C4orf28"
"90","ILMN_1739335","LOC400948"
"91","ILMN_1803834","LOC653352"
"92","ILMN_1884223",""
"93","ILMN_2396639","PDLIM7"
"94","ILMN_1814985","PDLIM7"
"95","ILMN_1830990",""
"96","ILMN_1911503",""
"97","ILMN_1680462","CST6"
"98","ILMN_1697733","CST6"
"99","ILMN_1658713","TNFSF11"
"100","ILMN_2055638","KRTAP13-1"
"101","ILMN_1662791","C10orf68"
"102","ILMN_1839575",""
"103","ILMN_1904521",""
"104","ILMN_2275455","RNF6"
"105","ILMN_1814002","TEAD3"
"106","ILMN_1702698","LSM11"
"107","ILMN_1708151","LAGE3"
"108","ILMN_1765085","TRMT6"
"109","ILMN_1793463","LOC647785"
