BenchmarkInit,       1,29025605861 ns/op,3481384312 B/op,43479773 allocs/op
BenchmarkGeneExpression,     500,   5214559 ns/op,  399939 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1003890717 ns/op,  354792 B/op,    1740 allocs/op
BenchmarkStd,     500,   4581094 ns/op,  357993 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4574746 ns/op,  357334 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80392 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    956557 ns/op,  285241 B/op,    1564 allocs/op
BenchmarkInit,       1,28887400641 ns/op,3481479336 B/op,43480350 allocs/op
BenchmarkGeneExpression,     500,   5346341 ns/op,  399946 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1004540371 ns/op,  356856 B/op,    1740 allocs/op
BenchmarkStd,     500,   4609117 ns/op,  357903 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4643456 ns/op,  358102 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     82106 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    944672 ns/op,  285240 B/op,    1564 allocs/op
BenchmarkInit,       1,28675776530 ns/op,3481565064 B/op,43480763 allocs/op
BenchmarkGeneExpression,     500,   5360084 ns/op,  400017 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1005109321 ns/op,  354840 B/op,    1740 allocs/op
BenchmarkStd,     500,   4493831 ns/op,  357733 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4516865 ns/op,  357878 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80128 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    943309 ns/op,  285233 B/op,    1564 allocs/op
BenchmarkInit,       1,28047120999 ns/op,3481201496 B/op,43478929 allocs/op
BenchmarkGeneExpression,     500,   5313333 ns/op,  400012 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1003840128 ns/op,  351864 B/op,    1736 allocs/op
BenchmarkStd,     500,   4456363 ns/op,  357945 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4476625 ns/op,  358059 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80312 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    941303 ns/op,  285243 B/op,    1564 allocs/op
BenchmarkInit,       1,27921483953 ns/op,3481465224 B/op,43480311 allocs/op
BenchmarkGeneExpression,     500,   5347499 ns/op,  399793 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1003778233 ns/op,  395448 B/op,    1742 allocs/op
BenchmarkStd,     500,   4437594 ns/op,  357882 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4443642 ns/op,  358106 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     84171 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    937552 ns/op,  285232 B/op,    1564 allocs/op
BenchmarkInit,       1,27915386100 ns/op,3481038088 B/op,43477951 allocs/op
BenchmarkGeneExpression,     500,   5292131 ns/op,  399982 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1006351808 ns/op,  354712 B/op,    1738 allocs/op
BenchmarkStd,     500,   4424398 ns/op,  357794 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4445760 ns/op,  357684 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     79805 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    940170 ns/op,  285231 B/op,    1564 allocs/op
BenchmarkInit,       1,28033029896 ns/op,3481473320 B/op,43479787 allocs/op
BenchmarkGeneExpression,     500,   5323926 ns/op,  399795 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1003498917 ns/op,  356552 B/op,    1738 allocs/op
BenchmarkStd,     500,   4444267 ns/op,  358372 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4469276 ns/op,  358507 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80395 ns/op,    7933 B/op,      87 allocs/op
BenchmarkBackground,    2000,    935235 ns/op,  285292 B/op,    1565 allocs/op
BenchmarkInit,       1,28311523257 ns/op,3480933816 B/op,43477670 allocs/op
BenchmarkGeneExpression,     500,   5361513 ns/op,  399974 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1004668645 ns/op,  351752 B/op,    1736 allocs/op
BenchmarkStd,     500,   4467229 ns/op,  357855 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4462112 ns/op,  358051 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80121 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    941103 ns/op,  285229 B/op,    1564 allocs/op
BenchmarkInit,       1,28157299794 ns/op,3481307512 B/op,43478541 allocs/op
BenchmarkGeneExpression,     500,   5342425 ns/op,  399806 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1004547467 ns/op,  356472 B/op,    1737 allocs/op
BenchmarkStd,     500,   4432682 ns/op,  358133 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4473330 ns/op,  358398 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80887 ns/op,    7933 B/op,      87 allocs/op
BenchmarkBackground,    2000,    937116 ns/op,  285222 B/op,    1564 allocs/op
BenchmarkInit,       1,27882826870 ns/op,3481490168 B/op,43480176 allocs/op
BenchmarkGeneExpression,     500,   5355050 ns/op,  400154 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1005184987 ns/op,  354744 B/op,    1738 allocs/op
BenchmarkStd,     500,   4491292 ns/op,  358288 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4447278 ns/op,  358363 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     80694 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    940862 ns/op,  285232 B/op,    1564 allocs/op
BenchmarkInit,       1,28053978860 ns/op,3481142504 B/op,43477631 allocs/op
BenchmarkGeneExpression,     500,   5352479 ns/op,  400134 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1003710626 ns/op,  356648 B/op,    1739 allocs/op
BenchmarkStd,     500,   4449052 ns/op,  357854 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4480640 ns/op,  358043 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     79737 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    937805 ns/op,  285234 B/op,    1564 allocs/op
BenchmarkInit,       1,27926563436 ns/op,3481228920 B/op,43477934 allocs/op
BenchmarkGeneExpression,     500,   5488430 ns/op,  399935 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1004259652 ns/op,  355480 B/op,    1736 allocs/op
BenchmarkStd,     500,   4983831 ns/op,  357942 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4448241 ns/op,  358215 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     82182 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    937964 ns/op,  285256 B/op,    1564 allocs/op
BenchmarkInit,       1,28008340625 ns/op,3481429288 B/op,43480109 allocs/op
BenchmarkGeneExpression,     500,   5435543 ns/op,  400157 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1005102653 ns/op,  351976 B/op,    1737 allocs/op
BenchmarkStd,     500,   4958142 ns/op,  357708 B/op,    1722 allocs/op
BenchmarkVariance,     500,   4428608 ns/op,  358064 B/op,    1725 allocs/op
BenchmarkSetScale,   20000,     81403 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    935837 ns/op,  285238 B/op,    1564 allocs/op
BenchmarkInit,       1,28069833451 ns/op,3481458728 B/op,43480202 allocs/op
BenchmarkGeneExpression,     500,   5513315 ns/op,  400002 B/op,    1693 allocs/op
BenchmarkAverageDiff,       1,1004109956 ns/op,  352104 B/op,    1738 allocs/op
